     # | Bar   | When  | Length|Chnl| Vel|Note|  Operation  | Data
     6 |     1 |    10 |   528 |  0 | 71 | 72 |note on      |
     7 |     1 |   538 |     0 |  0 |  0 | 72 |note off     |
     8 |     1 |  1051 |   507 |  0 | 66 | 72 |note on      |
     9 |     1 |  1558 |     0 |  0 |  0 | 72 |note off     |
    10 |     2 |  2071 |   499 |  0 | 66 | 72 |note on      |
    11 |     2 |  2570 |     0 |  0 |  0 | 72 |note off     |
    12 |     2 |  3083 |   468 |  0 | 64 | 62 |note on      |
    13 |     2 |  3551 |     0 |  0 |  0 | 62 |note off     |
    14 |     2 |  3582 |   513 |  0 | 66 | 72 |note on      |
    15 |     2 |  4095 |     0 |  0 |  0 | 72 |note off     |
    16 |     3 |  4641 |   498 |  0 | 69 | 72 |note on      |
    17 |     3 |  5139 |     0 |  0 |  0 | 72 |note off     |
    18 |     3 |  5652 |   484 |  0 | 64 | 62 |note on      |
    19 |     3 |  6136 |     0 |  0 |  0 | 62 |note off     |
    20 |     4 |  6167 |   512 |  0 | 70 | 72 |note on      |
    21 |     4 |  6679 |     0 |  0 |  0 | 72 |note off     |
    22 |     4 |  6680 |   468 |  0 | 64 | 62 |note on      |
    23 |     4 |  7148 |     0 |  0 |  0 | 62 |note off     |
    24 |     4 |  7179 |   500 |  0 | 70 | 72 |note on      |
    25 |     4 |  7679 |     0 |  0 |  0 | 72 |note off     |
    26 |     5 |  8192 |   538 |  0 | 75 | 71 |note on      |
    27 |     5 |  8730 |     0 |  0 |  0 | 71 |note off     |
    28 |     5 |  9243 |   507 |  0 | 66 | 71 |note on      |
    29 |     5 |  9750 |     0 |  0 |  0 | 71 |note off     |
    30 |     6 | 10263 |   499 |  0 | 66 | 71 |note on      |
    31 |     6 | 10762 |     0 |  0 |  0 | 71 |note off     |
    32 |     6 | 11275 |   468 |  0 | 64 | 60 |note on      |
    33 |     6 | 11743 |     0 |  0 |  0 | 60 |note off     |
    34 |     6 | 11774 |   513 |  0 | 66 | 71 |note on      |
    35 |     6 | 12287 |     0 |  0 |  0 | 71 |note off     |
    36 |     7 | 12833 |   498 |  0 | 69 | 71 |note on      |
    37 |     7 | 13331 |     0 |  0 |  0 | 71 |note off     |
    38 |     7 | 13844 |   484 |  0 | 64 | 60 |note on      |
    39 |     7 | 14328 |     0 |  0 |  0 | 60 |note off     |
    40 |     8 | 14359 |   512 |  0 | 70 | 71 |note on      |
    41 |     8 | 14871 |     0 |  0 |  0 | 71 |note off     |
    42 |     8 | 14872 |   468 |  0 | 64 | 60 |note on      |
    43 |     8 | 15340 |     0 |  0 |  0 | 60 |note off     |
    44 |     8 | 15371 |   500 |  0 | 70 | 71 |note on      |
    45 |     8 | 15871 |     0 |  0 |  0 | 71 |note off     |
    46 |     9 | 16384 |   538 |  0 | 75 | 72 |note on      |
    47 |     9 | 16922 |     0 |  0 |  0 | 72 |note off     |
    48 |     9 | 17435 |   507 |  0 | 66 | 72 |note on      |
    49 |     9 | 17942 |     0 |  0 |  0 | 72 |note off     |
    50 |    10 | 18455 |   499 |  0 | 66 | 72 |note on      |
    51 |    10 | 18954 |     0 |  0 |  0 | 72 |note off     |
    52 |    10 | 19467 |   468 |  0 | 64 | 62 |note on      |
    53 |    10 | 19935 |     0 |  0 |  0 | 62 |note off     |
    54 |    10 | 19966 |   513 |  0 | 66 | 72 |note on      |
    55 |    10 | 20479 |     0 |  0 |  0 | 72 |note off     |
    56 |    11 | 21025 |   498 |  0 | 69 | 72 |note on      |
    57 |    11 | 21523 |     0 |  0 |  0 | 72 |note off     |
    58 |    11 | 22036 |   484 |  0 | 64 | 62 |note on      |
    59 |    11 | 22520 |     0 |  0 |  0 | 62 |note off     |
    60 |    12 | 22551 |   512 |  0 | 70 | 72 |note on      |
    61 |    12 | 23063 |     0 |  0 |  0 | 72 |note off     |
    62 |    12 | 23064 |   468 |  0 | 64 | 62 |note on      |
    63 |    12 | 23532 |     0 |  0 |  0 | 62 |note off     |
    64 |    12 | 23563 |   500 |  0 | 70 | 72 |note on      |
    65 |    12 | 24063 |     0 |  0 |  0 | 72 |note off     |
    66 |    13 | 24576 |   538 |  0 | 75 | 71 |note on      |
    67 |    13 | 25114 |     0 |  0 |  0 | 71 |note off     |
    68 |    13 | 25627 |   507 |  0 | 66 | 71 |note on      |
    69 |    13 | 26134 |     0 |  0 |  0 | 71 |note off     |
    70 |    14 | 26647 |   499 |  0 | 66 | 71 |note on      |
    71 |    14 | 27146 |     0 |  0 |  0 | 71 |note off     |
    72 |    14 | 27659 |   468 |  0 | 64 | 60 |note on      |
    73 |    14 | 28127 |     0 |  0 |  0 | 60 |note off     |
    74 |    14 | 28158 |   513 |  0 | 66 | 71 |note on      |
    75 |    14 | 28671 |     0 |  0 |  0 | 71 |note off     |
    76 |    15 | 29217 |   498 |  0 | 69 | 71 |note on      |
    77 |    15 | 29715 |     0 |  0 |  0 | 71 |note off     |
    78 |    15 | 30228 |   484 |  0 | 64 | 60 |note on      |
    79 |    15 | 30712 |     0 |  0 |  0 | 60 |note off     |
    80 |    16 | 30743 |   512 |  0 | 70 | 71 |note on      |
    81 |    16 | 31255 |     0 |  0 |  0 | 71 |note off     |
    82 |    16 | 31256 |   468 |  0 | 64 | 60 |note on      |
    83 |    16 | 31724 |     0 |  0 |  0 | 60 |note off     |
    84 |    16 | 31755 |   500 |  0 | 70 | 71 |note on      |
    85 |    16 | 32255 |     0 |  0 |  0 | 71 |note off     |
    86 |    17 | 32768 |   538 |  0 | 75 | 72 |note on      |
    87 |    17 | 33306 |     0 |  0 |  0 | 72 |note off     |
    88 |    17 | 33819 |   507 |  0 | 66 | 72 |note on      |
    89 |    17 | 34326 |     0 |  0 |  0 | 72 |note off     |
    90 |    18 | 34839 |   499 |  0 | 66 | 72 |note on      |
    91 |    18 | 35338 |     0 |  0 |  0 | 72 |note off     |
    92 |    18 | 35851 |   468 |  0 | 64 | 62 |note on      |
    93 |    18 | 36319 |     0 |  0 |  0 | 62 |note off     |
    94 |    18 | 36350 |   513 |  0 | 66 | 72 |note on      |
    95 |    18 | 36863 |     0 |  0 |  0 | 72 |note off     |
